Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
81,209.16172105732002,0.0,350.86172105731987,-176.0,-1.5,0.0,35.20000100508332,0.6000000238418579
82,9.53597574679201,0.0,10.86097574679201,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
83,18.4446392497068,0.0,24.144639249706795,-9.0,0.0,0.0,3.000000238418579,0.30000001192092896
84,125.44653635725595,-1.0000001192092896,158.07153638705825,-51.0,0.0,0.0,19.375001151114702,0.0
85,6.113699739623053,0.0,7.438699739623053,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
86,43.69837622150694,0.0,111.04837622150697,-84.59999990463257,0.0,0.0,16.650000654160976,0.6000000238418579
87,6.111074534184664,0.0,7.436074534184663,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
88,124.30260919509173,-1.0000001192092896,226.47760922489408,-133.0,0.0,0.0,31.825001288205385,0.0
89,16.84523002631335,0.0,18.79523002631335,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
90,123.0452203132762,0.0,168.6202203132761,-62.0,0.0,0.0,16.42500015348196,0.0
91,161.24478750713394,-1.0000001192092896,208.39478753693612,-73.0,0.0,0.0,26.550000470131636,0.30000001192092896
92,122.84844891839428,0.0,146.49844891839433,-51.299999952316284,0.0,0.0,27.05000066757202,0.6000000238418579
93,313.157023745558,0.0,466.3320237455578,-194.89999985694885,0.0,0.0,40.82500132918358,0.9000000357627869
94,73.02962787776296,0.0,89.80462787776297,-28.299999952316284,0.0,0.0,11.225000560283661,0.30000001192092896
95,17.55038244361633,0.0,24.675382443616325,-12.0,0.0,0.0,4.875000387430191,0.0
96,7.7392700466389135,0.0,9.064270046638914,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
97,206.12336561535562,-1.0000001192092896,287.0483656451583,-119.09999990463257,0.0,0.0,38.275001756846905,0.9000000357627869
98,7.699300794922916,0.0,9.024300794922915,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
99,7.712639343843771,0.0,9.03763934384377,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
100,12.06928520923943,0.0,14.644285209239433,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
101,122.20916434849485,0.0,148.85916434849486,-43.3999999165535,0.0,0.0,15.250000357627869,1.5000000596046448
102,10.08924318055592,0.0,12.664243180555921,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
103,123.35247307033147,0.0,213.37747307033138,-112.89999985694885,0.0,0.0,21.97500079870224,0.9000000357627869
104,11.920382452647535,0.0,14.495382452647535,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
105,48.76675914000247,0.0,63.96675914000249,-16.5,-6.0,0.0,7.00000025331974,0.30000001192092896
106,121.59644746258662,0.0,184.2714474625867,-89.0,0.0,0.0,26.325001575052738,0.0
107,109.6462541861692,0.0,140.82125418616923,-46.0,0.0,0.0,14.825000528246164,0.0
108,48.37279932532448,0.0,67.32279932532445,-27.0,0.0,0.0,7.75000025331974,0.30000001192092896
