Episode,R_total,R_env,R_passing,R_in_box,R_assist,R_role,R_approach
54,21.25999919,0,-2,3,0,21.27999926,1.979999967
55,77.07999513,0,-25.29999995,0,0,69.5199956,40.85999861
56,44.61999642,-1.000000119,-18,0,0,47.83999856,15.77999941
57,35.05999799,0,-20.60000002,0,0,46.5999983,9.059999868
58,4.099999756,0,-1,0,0,4.799999714,0.300000012
59,28.21999793,0,-9.5,0,0,28.8399983,8.879999638
60,41.29999697,0,-8.5,0,0,28.39999783,17.39999933
61,74.43999663,0,-13,0,0,51.75999856,37.67999861
62,5.499999732,0,-2,0,0,7.199999571,0.300000012
63,43.7199972,0,-7.800000012,0,0,34.47999859,17.03999943
64,73.69999518,-1.000000119,-27.5,-12,0,75.19999641,26.99999896
65,3.999999702,0,-3.5,0,0,7.199999571,0.300000012
66,5.999999642,0,-1.5,-1,0,7.199999571,0.300000012
67,4.099999726,0,-1,0,0,4.799999714,0.300000012
68,48.15999596,-1.000000119,-13,0,0,44.99999602,17.15999951
69,4.099999726,0,-1,0,0,4.799999714,0.300000012
70,37.03999595,-1.000000119,-20.5,0,0,49.95999713,8.579999827
71,66.11999667,0,-12.30000001,0,0,49.31999819,29.09999888
72,37.03999862,0,-4.5,0,0,31.99999803,15.53999947
73,50.35999656,-1.000000119,-10.5,0,0,47.8799964,13.9799997
74,25.85999775,0,0,0,0,25.31999773,0.540000007
75,7.319999695,0,0.5,0,0,6.159999639,0.659999996
76,112.5599956,0,-18,0,0,62.71999933,63.83999754
77,32.65999828,0,-11.30000001,0,0,36.95999792,8.999999814
78,70.51999705,-1.000000119,-21.80000001,9,0,65.59999823,27.71999903
79,33.91999758,-1.000000119,-27.5,-4,0,45.43999833,16.97999938
80,78.55999439,0,-44.70000005,0,0,77.71999665,45.53999841
81,47.27999768,0,-12,0,0,38.47999722,22.79999912
82,53.35999568,0,-18.09999996,0,0,49.79999557,21.65999959
83,55.11999591,-1.000000119,-21.5,0,0,59.43999679,18.17999932
84,50.29999677,-1.000000119,-15.5,0,0,54.6799991,18.1199994
85,49.97999727,-1.000000119,-8,0,0,48.35999809,10.61999973
86,21.57999891,0,-5.300000012,0,0,22.32000011,4.55999995
87,23.35999858,0,-7,5,0,22.95999867,11.39999962
88,38.03999805,-1.000000119,-20.80000001,0,0,45.43999815,14.39999965
89,72.39999247,-1.000000119,-36.10000002,0,0,75.11999451,34.37999874
90,5.819999635,0,-1,-4,0,6.159999639,0.659999996
91,3.899999648,0,-3,0,0,6.599999607,0.300000012
92,28.81999738,-1.000000119,-29,0,0,49.03999722,9.779999629
93,49.83999664,0,-13.5,0,0,46.47999825,16.85999922
94,96.35999461,0,-20.39999986,-1,0,65.99999717,50.75999772
95,56.7399974,-1.000000119,-15,0,0,50.75999631,25.97999907
96,3.859999716,0,-1,0,0,4.559999704,0.300000012
97,7.21999985,0,1,0,0,5.559999675,0.659999996
